implementation,avg_runtime_ms,max_runtime_ms,avg_peak_memory_mb,max_peak_memory_mb,max_correctness_error
baseline,0.6633407083427301,1.7891600000439212,28.9375,85.125,0.0
dsl_baseline,0.6212119166472501,1.7820306667696666,28.9375,85.125,0.0
streaming,1.2468690555414874,5.615041333233724,17.088541666666668,40.625,0.0
tiled,1.2125960972310976,5.526149000009657,19.567708333333332,55.625,0.0
